// CHAR_TEX_CONCRETE	'C'
// CHAR_TEX_METAL		'M'
// CHAR_TEX_DIRT		'D'
// CHAR_TEX_VENT		'V'
// CHAR_TEX_GRATE		'G'
// CHAR_TEX_TILE		'T'
// CHAR_TEX_SLOSH		'S'
// CHAR_TEX_WOOD		'W'
// CHAR_TEX_COMPUTER	'P'
// CHAR_TEX_GLASS		'Y'
// CHAR_TEX_FLESH		'F'
// CHAR_TEX_CARPET		'Z'
// CHAR_TEX_GRASS		'U'
// CHAR_TEX_MUD		'I'
// CHAR_TEX_SAND		'O'
// CHAR_TEX_SNOW		'P'
// CHAR_TEX_BRKGLASS	'Y'
// CHAR_TEX_PAPER  	'H'
// CHAR_TEX_GRAVEL  	'R'
// CHAR_TEX_RANDOMTWIGSNAP  	'B'
W c2_hogtavl2
Z c2_jamescarpet
Z c2_k1_side1
Z c2_k1_side2
Z c2_k2_side1
Z c2_k2_side2
Z c2_k2_side3
C c2_kakelblue
C c2_kakelyellow
C c2_klocka1
B c2_sgras3
W c2_kokloda
W c2_kokluckaU_F
W c2_kokluckaU_S
W c2_koklucka_F
W c2_koklucka_S
M c2_kokmetalO
W c2_kryddor
H c2_ksideshit
H c2_ktop
M c2_kylF
M c2_kylF2
M c2_kylS
R c2_leaves
M c2_lockers1
W c2_lodor1
H c2_lyktstolle
W c2_madwdsb
W c2_matbordleg
W c2_matbordT
W c2_matbordwd
W c2_matbordwdS
Z c2_matta1
Z c2_matta10
Z c2_matta2
Z c2_matta3
Z c2_matta4
Z c2_matta5
Z c2_matta6
Z c2_matta7
Z c2_matta8
Z c2_matta9
W c2_mblwood1
W c2_mblwood2
M c2_metalbrunn
M c2_metallist
M c2_metalthing
M c2_metalwall1
M c2_metalwall2
M c2_metalwall3
Y c2_glass_broken
W c2_waspetgar
M c2_elevator2
B c2_sgras2
U c2_sgraswl
U c2_sgraswl2
U c2_sgraswl3
U c2_sgraswl4
W c2_sstamm1
W c2_sstamm2
W c2_sstamm3
W c2_sstatex1
W c2_sstatex2
U c2_sbergvg1
U c2_sbergvg2
U c2_sbergvg3
R c2_newrails
H c2_polistejp
H c2_polistejpsic
H c2_poster1
H c2_poster2
H c2_poster3
H c2_poster4
H c2_poster5
M c2_roof1
M c2_rstmetal
W c2_sangborF
H c2_sewernote
M c2_sewerpanel
M c2_skylt1
M c2_skylt2
M c2_skylt3
M c2_skyltstang
M c2_smokesign
M c2_spisF
M c2_spisT
M c2_stairsign
M c2_stairsign_eg
W c2_stupror
M c2_toidoor
M c2_tvattmaskin
M c2_venteil
M c2_vitmobel
M c2_vitmobelsb
W c2_wawoodsb
W c2_wood1
W c2_wood2
W c2_wood2ka
W c2_wood3
W c2_wood3ka
W c2_woodflr1
W c_apdoor1
M c_basdoor1
M c_basror
Z c_bed1S
Z c_bed1T
Z c_bednakedS
Z c_bednakedT
Z c_bedpillowT
Z c_bedtackeT
W c_bedwood
M c_blmetalli
M c_blurmetal
M c_blurmetalbig
H c_books1F
H c_books2F
H c_books3F
H c_books4F
H c_books5F
M c_brandsign
M c_brunn1
M c_brunnsick1
Y c_build1win1
Y c_build1win1S
U c_buske1
W c_byra1F
W c_byra1S
B c2_sgras1
M c_diskhornT
M c_diskhornT2
M c_donotenter
M c_door1
M c_door2
M c_door3
W c_door6
W c_door7
W c_dorrlistg
W c_dorrlistg_B
W c_dorrlist_B
W c_dorrlist_S
W c_dorrlist_XS
M c_doubledoors1
M c_doubledoors2
M c_drkmetal
M c_drkrstmetal
M c_elboxfront
M c_elboxside1
M c_elboxside2
M c_elboxtop
M c_element1
M c_eluttag
Z c_gardintop
Z c_gardintop2
Z c_gardintop3
Y c_glassblur
Y c_glasssharp
W c_golv1
W c_golv2
W c_golv3
W c_golv4
U c_grass02
U c_grassbacke1
R c_grus1
M c_hissF
M c_hissFblood
M c_hogbla1
M c_hogbla1blood
M c_hogbla1S
M c_hogbla1Sblood
M c_hogbla2
M c_hogbla2blood
W c_hogdbldoor1
W c_hogdbldoor2
W c_hogdbldoor3
W c_hogdoor1
W c_hogdoor2
W c_hogdoor3
W c_hogdoor3blood
W c_hogdoor4
W c_hogdoorblood
Y c_hogglas1
W c_hogtavl2
W c_hogtrappaF1
W c_hogtrappaF1bl
M c_husnummer
I c_jord
I c_jord2
U c_jord23
H c_k1_side1
H c_k1_side2
H c_k2_side1
H c_k2_side2
H c_k2_side3
M c_keypad1
W c_koklist
W c_kokloda
W c_kokluckaU_F
W c_kokluckaU_S
W c_koklucka_F
W c_koklucka_S
M c_kokmetalO
M c_kompass
M c_kompassS
W c_kryddor
W c_ksideshit
H c_ktop
H c_ktopboard1
H c_ktopboard2
H c_ktopboard3
M c_kylF
M c_kylF2
M c_kylS
Y c_lampa2ljus
Y c_lampa2ram
Y c_lampa3ljus
Y c_lampa3ram
Y c_lampa4ljus
Y c_lampa4ram
Y c_lampa_toaF
Y c_lampa_toaS
M c_litenbrunn
W c_lodor1
W c_lodor2
Y c_lysrorlampaof
Y c_lysrorlampaon
W c_matbordleg
W c_matbordT
Wc_matbordwd
W c_matbordwdS
Z c_matta1
Z c_matta10
Zc_matta2
Z c_matta3
Z c_matta4
Z c_matta5
Z c_matta6
Z c_matta7
Z c_matta8
Z c_matta9
W c_mblwood1
W c_mblwood2
M c_metalbrunn
M c_metalistsick1
M c_metallist
W c_nightmaret1
M c_obbsrail
W c_obbswcsign
H c_plastic
H c_poster1
H c_poster2
H c_poster3
H c_poster4
H c_poster5
M c_roof1
M c_roof2
M c_rstblpipe
Mc_rstmetal
M c_rstpipe
W c_sangborF
M c_spisF
M c_spisT
M c_statyfl
U c_stengrass
M c_stupror
Y c_tavla1
Y c_tavla2
Y c_tavla3
M c_tbanadoors
M c_tbanaguls
M c_tbanakant
M c_tbanaorange
H c_tbanapost1
H c_tbanapost10
H c_tbanapost2
H c_tbanapost3
H c_tbanapost4
H c_tbanapost5
H c_tbanapost6
H c_tbanapost7
H c_tbanapost8
H c_tbanapost9
R c_tbanarals
M c_tbanawa2
M c_tbana_F
M c_tbana_S1
M c_tbana_S2
M c_tbana_S3
W c_toadetails
M c_toidoor
M c_treeground1
M c_tvattmaskin
S c_vattenpol
S c_vattenpolS
W c_wawood
W c_wawoodblood
W c_wood1
W c_wood2
W c_wood2ka
W c_wood3
W c_wood3ka
U c2_humgr1
D c2_humgr2
D c2_humgr3
D c2_spadedigg
B c2_sstig1
B c2_sstig2
U c2_sanggras1
B c2_sanggras2

